"Time","dl_brate {pci=""1"", rnti=""4605"", testbed=""default""}"
2025-04-09 12:37:02,3.921 Mb/s
2025-04-09 12:37:03,2.898 Mb/s
2025-04-09 12:37:04,2.182 Mb/s
2025-04-09 12:37:05,3.982 Mb/s
2025-04-09 12:37:06,4.837 Mb/s
2025-04-09 12:37:07,6.058 Mb/s
2025-04-09 12:37:08,7.494 Mb/s
2025-04-09 12:37:09,8.195 Mb/s
2025-04-09 12:37:10,7.417 Mb/s
2025-04-09 12:37:11,4.317 Mb/s
2025-04-09 12:37:12,12.752 Mb/s
2025-04-09 12:37:13,17.213 Mb/s
2025-04-09 12:37:14,18.958 Mb/s
2025-04-09 12:37:15,15.320 Mb/s
2025-04-09 12:37:16,18.227 Mb/s
2025-04-09 12:37:17,13.861 Mb/s
2025-04-09 12:37:18,13.380 Mb/s
2025-04-09 12:37:19,10.165 Mb/s
2025-04-09 12:37:20,5.795 Mb/s
2025-04-09 12:37:21,4.157 Mb/s
2025-04-09 12:37:22,3.401 Mb/s
2025-04-09 12:37:23,5.320 Mb/s
2025-04-09 12:37:24,7.712 Mb/s
2025-04-09 12:37:25,5.977 Mb/s
2025-04-09 12:37:26,3.527 Mb/s
2025-04-09 12:37:27,5.491 Mb/s
2025-04-09 12:37:28,5.057 Mb/s
2025-04-09 12:37:29,3.799 Mb/s
2025-04-09 12:37:30,1.449 Mb/s
2025-04-09 12:37:31,1.561 Mb/s
2025-04-09 12:37:32,1.404 Mb/s
2025-04-09 12:37:33,1.652 Mb/s
2025-04-09 12:37:34,1.840 Mb/s
2025-04-09 12:37:35,151.128 kb/s
2025-04-09 12:37:36,434.920 kb/s
2025-04-09 12:37:37,1.032 Mb/s
2025-04-09 12:37:38,1.990 Mb/s
2025-04-09 12:37:39,2.972 Mb/s
2025-04-09 12:37:40,5.029 Mb/s
2025-04-09 12:37:41,7.869 Mb/s
2025-04-09 12:37:42,2.263 Mb/s
2025-04-09 12:37:43,3.399 Mb/s
2025-04-09 12:37:44,2.370 Mb/s
2025-04-09 12:37:45,2.732 Mb/s
2025-04-09 12:37:46,2.422 Mb/s
2025-04-09 12:37:47,4.695 Mb/s
2025-04-09 12:37:48,7.293 Mb/s
2025-04-09 12:37:49,6.271 Mb/s
2025-04-09 12:37:50,5.201 Mb/s
2025-04-09 12:37:51,6.316 Mb/s
2025-04-09 12:37:52,7.309 Mb/s
2025-04-09 12:37:53,3.782 Mb/s
2025-04-09 12:37:54,8.277 Mb/s
2025-04-09 12:37:55,7.261 Mb/s
2025-04-09 12:37:56,4.939 Mb/s
2025-04-09 12:37:57,5.135 Mb/s
2025-04-09 12:37:58,1.693 Mb/s
2025-04-09 12:37:59,1.611 Mb/s
2025-04-09 12:38:00,1.928 Mb/s
2025-04-09 12:38:01,1.726 Mb/s
2025-04-09 12:38:02,3.030 Mb/s