"Time","ul_brate {pci=""1"", rnti=""4605"", testbed=""default""}"
2025-04-09 12:37:32.345,162.440 kb/s
2025-04-09 12:37:33.345,191.488 kb/s
2025-04-09 12:37:34.345,200.192 kb/s
2025-04-09 12:37:35.345,30.464 kb/s
2025-04-09 12:37:36.345,56.576 kb/s
2025-04-09 12:37:37.345,123.272 kb/s
2025-04-09 12:37:38.345,179.848 kb/s
2025-04-09 12:37:39.345,213.248 kb/s
2025-04-09 12:37:40.344,217.600 kb/s
2025-04-09 12:37:41.345,217.600 kb/s
2025-04-09 12:37:42.345,187.136 kb/s
2025-04-09 12:37:43.345,217.600 kb/s
2025-04-09 12:37:44.345,161.024 kb/s
2025-04-09 12:37:45.345,208.896 kb/s
2025-04-09 12:37:46.345,205.960 kb/s
2025-04-09 12:37:47.345,217.600 kb/s
2025-04-09 12:37:48.345,217.600 kb/s
2025-04-09 12:37:49.344,187.136 kb/s
2025-04-09 12:37:50.345,143.616 kb/s
2025-04-09 12:37:51.345,143.616 kb/s
2025-04-09 12:37:52.344,139.264 kb/s
2025-04-09 12:37:53.345,65.280 kb/s
2025-04-09 12:37:54.345,143.616 kb/s
2025-04-09 12:37:55.345,174.080 kb/s
2025-04-09 12:37:56.345,192.904 kb/s
2025-04-09 12:37:57.345,169.728 kb/s
2025-04-09 12:37:58.345,69.632 kb/s
2025-04-09 12:37:59.345,87.040 kb/s
2025-04-09 12:38:00.345,213.248 kb/s
2025-04-09 12:38:01.345,182.784 kb/s
2025-04-09 12:38:02.345,217.600 kb/s